Datetime,rt_15min_lmp ($/MWh)
2023-02-21T00:15:00.000Z,-10.5819126
2023-02-21T00:30:00.000Z,-9.8302526
2023-02-21T00:45:00.000Z,0.0404544
2023-02-22T00:00:00.000Z,-10.788967
2023-02-22T00:15:00.000Z,12.5241942
2023-02-22T00:30:00.000Z,33.8753464
2023-02-22T00:45:00.000Z,63.0131964
2022-12-09T00:00:00.000Z,259.133952
2022-12-09T00:15:00.000Z,211.3443108
2022-12-09T00:30:00.000Z,234.2197354
2022-12-09T00:45:00.000Z,298.03368
2022-12-10T00:00:00.000Z,301.1344
2022-12-10T00:15:00.000Z,298.2189196
2022-12-10T00:30:00.000Z,312.716824
2022-12-10T00:45:00.000Z,365.404221
2022-12-11T00:00:00.000Z,446.88
2022-12-11T00:15:00.000Z,308.0022596
2022-12-11T00:30:00.000Z,344.3051248
2022-12-11T00:45:00.000Z,406.6587028
2023-02-06T00:00:00.000Z,19.5889652
2023-02-06T00:15:00.000Z,12.242699
2023-02-06T00:30:00.000Z,29.5582994
2023-02-06T00:45:00.000Z,56.4822118
2023-02-07T00:00:00.000Z,46.0682908
2023-02-07T00:15:00.000Z,15.2805128
2023-02-07T00:30:00.000Z,30.27122
2023-02-07T00:45:00.000Z,62.3398972
2023-02-08T00:00:00.000Z,51.3731582
2023-02-08T00:15:00.000Z,26.0640702
2023-02-08T00:30:00.000Z,34.0788336
2023-02-08T00:45:00.000Z,64.1420584
2022-12-21T00:00:00.000Z,343.175714
2022-12-21T00:15:00.000Z,275.840453
2022-12-21T00:30:00.000Z,315.1257816
2022-12-21T00:45:00.000Z,356.461329
2022-12-22T00:00:00.000Z,292.46679
2022-12-22T00:15:00.000Z,277.7098912
2022-12-22T00:30:00.000Z,332.7197216
2022-12-22T00:45:00.000Z,355.664099
2022-12-23T00:00:00.000Z,549.681608
2022-12-23T00:15:00.000Z,490.8279824
2022-12-23T00:30:00.000Z,570.631656
2022-12-23T00:45:00.000Z,663.9652488
2022-12-24T00:00:00.000Z,310.2921668
2022-12-24T00:15:00.000Z,293.579482
2022-12-24T00:30:00.000Z,343
2022-12-24T00:45:00.000Z,380.604952
2022-12-25T00:00:00.000Z,278.6936348
2022-12-25T00:15:00.000Z,241.5821912
2022-12-25T00:30:00.000Z,264.688298
2022-12-25T00:45:00.000Z,329.511182
2022-12-26T00:00:00.000Z,211.3167042
2022-12-26T00:15:00.000Z,184.570505
2022-12-26T00:30:00.000Z,206.2681852
2022-12-26T00:45:00.000Z,238.4314128
2023-04-15T00:00:00.000Z,14.159383
2023-04-15T00:15:00.000Z,13.989549
2023-04-15T00:30:00.000Z,17.1546648
2023-04-15T00:45:00.000Z,34.2075076
2023-04-16T00:00:00.000Z,-0.001078
2023-04-16T00:15:00.000Z,-0.0489216
2023-04-16T00:30:00.000Z,1.9621854
2023-04-16T00:45:00.000Z,29.551998
2023-04-17T00:00:00.000Z,17.3344164
2023-04-17T00:15:00.000Z,11.354329
2023-04-17T00:30:00.000Z,19.9781722
2023-04-17T00:45:00.000Z,46.5029306
2022-12-27T00:00:00.000Z,355.1324
2022-12-27T00:15:00.000Z,279.412406
2022-12-27T00:30:00.000Z,330.7349864
2022-12-27T00:45:00.000Z,353.283483
2022-12-28T00:00:00.000Z,236.068672
2022-12-28T00:15:00.000Z,223.719986
2022-12-28T00:30:00.000Z,237.2472886
2022-12-28T00:45:00.000Z,250.6105
2022-12-29T00:00:00.000Z,192.0784908
2022-12-29T00:15:00.000Z,160.5086042
2022-12-29T00:30:00.000Z,186.9854406
2022-12-29T00:45:00.000Z,242.7458432
2022-12-18T00:00:00.000Z,304.5059332
2022-12-18T00:15:00.000Z,248.0666748
2022-12-18T00:30:00.000Z,281.895285
2022-12-18T00:45:00.000Z,304.712968
2022-12-19T00:00:00.000Z,288.3189988
2022-12-19T00:15:00.000Z,237.463065
2022-12-19T00:30:00.000Z,254.6764514
2022-12-19T00:45:00.000Z,298.0595128
2022-12-20T00:00:00.000Z,332.0951676
2022-12-20T00:15:00.000Z,268.3327808
2022-12-20T00:30:00.000Z,308.423836
2022-12-20T00:45:00.000Z,384.0228
2023-02-09T00:00:00.000Z,44.2870428
2023-02-09T00:15:00.000Z,18.4039198
2023-02-09T00:30:00.000Z,36.445367
2023-02-09T00:45:00.000Z,63.7613186
2023-02-10T00:00:00.000Z,65.7145468
2023-02-10T00:15:00.000Z,32.9662102
2023-02-10T00:30:00.000Z,45.1437098
2023-02-10T00:45:00.000Z,66.5270354
2023-02-11T00:00:00.000Z,62.9574246
2023-02-11T00:15:00.000Z,35.9060632
2023-02-11T00:30:00.000Z,44.913449
2023-02-11T00:45:00.000Z,65.3272312
2022-12-06T00:00:00.000Z,154.008078
2022-12-06T00:15:00.000Z,113.1014178
2022-12-06T00:30:00.000Z,150.2179574
2022-12-06T00:45:00.000Z,168.4522
2022-12-07T00:00:00.000Z,151.6210136
2022-12-07T00:15:00.000Z,125.730815
2022-12-07T00:30:00.000Z,153.225058
2022-12-07T00:45:00.000Z,169.9330878
2022-12-08T00:00:00.000Z,192.641442
2022-12-08T00:15:00.000Z,169.2362
2022-12-08T00:30:00.000Z,180.0064
2022-12-08T00:45:00.000Z,215.598824
2023-02-23T00:00:00.000Z,-12.0652504
2023-02-23T00:15:00.000Z,-8.4876722
2023-02-23T00:30:00.000Z,-7.5351416
2023-02-23T00:45:00.000Z,74.4717974
2023-02-24T00:00:00.000Z,-7.7931168
2023-02-24T00:15:00.000Z,5.969572
2023-02-24T00:30:00.000Z,36.0138436
2023-02-24T00:45:00.000Z,83.5985178
